merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
COOP 11.SZ. U:ZLET KOC,coop zlet koc,5411,KOCS,HU,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AMAZON UK* ZL4T49U94,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25309031874�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
77418422,,5499,VAESTRA FROEL,SE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
O17637159210879446 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
MARCH RESTAURANTS,march restaurants,5812,W DENSWIL,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LS THE SALTY DOG CAFE,the salty dog cafe,5814,TORQUAY,AU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
GOPAY  *ANTIKAVION.CZ,gopay antikavion,5942,LIBEREC,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,
SQSP* DOMAIN#215854114,sqsp,7372,NEW YORK,US,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
PIZZERIA DI ROMA,pizzeria roma,5812,CHESSY,FR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
DIPSAMATIC,dipsamatic,5499,BUSSY ST G,FR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TV NOVA 7989441053,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
SC LASERUM SABADELL,laserum sabadell,7230,SABADELL,ES,Beauty & Personal Care,Beauty salons,Personal Services,"Hotels, laundry, beauty services, personal care",Beauty Salons,0.95,rule_based,mcc_rule
D7 SPOTIFY CAMP NOU,spotify camp nou,5813,TORRE MELINA,ES,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
SEAVIEW CAFE,seaview cafe,5812,MELLIEHA,MT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
FITZ CLUB,fitz club,7832,MADRID,ES,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule
MÁV-START JEGYKIADÓ,start jegykiad,4112,VELENCE,HU,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule
D9DFB SPORTS,sports,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GOPAY *CINEMAWARE.EU,gopay cinemaware,7832,SYSTEM.CINEMA,CZ,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule
LEKARNA POD KANKEM,lekarna pod kankem,5912,KUTNA HORA,CZ,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
ISEE MALTA,isee malta,4722,SLIEMA,MT,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
UNSOY TURIZM SHELL,unsoy turizm shell,5541,TEKIRDAG,TR,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
USCUSTOMS ESTA APPL PMT,uscustoms esta pmt,9399,317-715-6776,US,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
AUCHAN SOROKSAR,auchan soroksar,5311,BUDAPEST,HU,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
CM *MOCO AMSTERDAM,moco amsterdam,7991,AMSTERDAM,NL,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Tourist Attractions,0.95,rule_based,mcc_rule
TV NOVA 9800249858,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
PROTV 9717753944,protv,4899,BUCHAREST,RO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
FOODORA_AT_CJYF-2422-2VWT,foodora cjyf,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TV NOVA 6810682075,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
LIDL DIENSTLEISTUNG,lidl dienstleistung,5411,OLDENBURG IN,DE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
D11E1 ENTS,ents,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
PUBLIX #1006 000001006,publix,5411,PALM BCH GDNS,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ENTRYTICKETS LTD.,entrytickets ltd,7922,KOMARNO,SK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule
DEEZEREUROPE 7UIV,deezereurope,5815,PARIS,FR,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
MOONPAY*METAMASK 6576,moonpay metamask,6051,MOONPAY.COM,IE,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
ADNOC AL RAEFA 787,adnoc raefa,5541,UMMALQUWAI,AE,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
CMT UK LTD TAXI FARE,cmt ltd taxi fare,4121,LONDON,GB,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
LIME*RIDE D2TL,lime ride,7519,BULGARIA,BG,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
NOW 4F3A2 ENTERTAI,now entertai,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
WPML-ATE,wpml ate,5734,WANCHAI,HK,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
MICROSOFT-G126347829,microsoft,5045,MSBILL.INFO,CH,,,Wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,
A.S. TELHEIRAS,telheiras,5541,LISBOA,PT,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
87676451 ZINZINO,zinzino,5499,VAESTRA FROEL,SE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TOOGOODT T6B3YWZX3B4G0,toogoodt,5812,TOOGOODTOGO.E,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
SUPERPROF * PACK BOUALE,superprof pack bouale,7333,PARIS - FRANC,FR,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
FAST FOOD ZRCE,fast food zrce,5812,NOVALJA,HR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
SEM MOBILITE�CUM,sem mobilite cum,4111,CGEZPQ6NADHP�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
WAYLET,waylet,5983,MADRID,ES,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
GOOGLE *GOOGLE STORAGE,google storage,7372,G.CO/HELPPAY#,IE,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
TOOGOODT EY2EK691E26T0,toogoodt,5812,TOOGOODTOGO.C,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TV NOVA 2425961972,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
NEXT BAR,next bar,5812,BUDAPEST,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
BOOKS ON THE GREEN,books the green,5942,DUBLIN 4,IE,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,
BOLT.EUD2509091050,bolt,5812,TALLINN,EE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
MICROSOFT-G120073725,microsoft,5045,MSBILL.INFO,CH,,,Wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,
KITH PARIS,kith paris,5651,PARIS,FR,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
SKOLNI BUFIK,skolni bufik,5814,PRAHA,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
AIRBNB * HM5PBMJFBY,airbnb,4722,372-088-3800,LU,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
FOODORA_CZ_SUB-34NLLOQ,foodora sub,5499,PRAGUE 8,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
ACS*22278051 THREE,acs three,4814,ROTTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
VOYO.SK 2196984720,voyo,4899,BRATISLAVA,SK,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
HEGNAUER MARKT,hegnauer markt,5411,HEGNAU,CH,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
OTOS CSEMEGE,otos csemege,5411,EGER,HU,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AMAZON UK* ZC8V81J34,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
LIDL CAPE 2391,lidl cape,5310,CAPPELLE LA G,FR,,,Wholesale,"Durable goods wholesalers, industrial equipment",Discount Stores,0.0,rule_based,
LIDL RO-381,lidl,5411,SNAGOV,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
GASTRONOMIA PLAZOWA,gastronomia plazowa,5814,DZIWNOWEK,PL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
6AB06 SKY CINE,sky cine,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
LIME*RIDE CS3K,lime ride,4789,WARSZAWA,PL,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
HEINEMANN DUTY FREE/FIL.2,heinemann duty free fil,5309,SCHONEFELD,DE,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
EMPRESA MALAGUENA DE T,empresa malaguena,4111,MALAGA,ES,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
AVAST  *AVAP1650748675,avast,5817,AVAST.COM/ORD,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
SOCIAL DEAL 2 X DE VLI,social deal vli,7278,'S-HERTOGENBO,BE,,,Personal Services,"Hotels, laundry, beauty services, personal care",,0.0,rule_based,
ESCLATOIL REUS,esclatoil reus,5542,REUS,ES,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Automated Fuel Dispensers,0.95,rule_based,mcc_rule
TOOGOODT CSBGG3HYFBQF0,toogoodt,5812,COPENHAGEN,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
T-PONT KORZO' U:ZLETH,pont korzo zleth,4812,NYIREGYH.,HU,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecom Equipment,0.95,rule_based,mcc_rule
AMAZON UK* Z94IX9XV4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
METRO BARCELONA,metro barcelona,4111,BARCELONA,ES,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
LIME*REAJUSTE SALDO I7,lime reajuste saldo,4789,BARCELONA,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
CHANTAL BAR PTR SRL,chantal bar ptr srl,5813,TIMISOARA,RO,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
OLAJBOGYÓ PIZZÉRIA,olajbogy pizz ria,5812,ALGYO,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
G7,,4121,CLICHY,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
SKYSHOWTIME 2D948 STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
SQSP* WORKSP#214977538,sqsp worksp,7372,SQUARESPACE.C,US,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
PAYPAL *LOVOO GMBH,paypal lovoo gmbh,7273,35314369001,DE,,,Personal Services,"Hotels, laundry, beauty services, personal care",,0.0,rule_based,
GOPAY *SVETBOT.CZ,gopay svetbot,5661,BRNO - BRNO-M,CZ,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Shoe Stores,0.95,rule_based,mcc_rule
PENSION UBEDA,pension ubeda,7011,FUENMAYOR,ES,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
LIME*PASS AAGP,lime pass aagp,4789,33974595221,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
0LPB6IDIXQST,,4111,TOULOUSE CEDE,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
CAFEVIENNAAG,cafeviennaag,5814,NEW YORK,US,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
CARS TAXI SERVICES CO LLC,cars taxi services llc,4121,DUBAI,AE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
3OJ4XR6GXGWZ#TISSEO.FR#VC,tisseo,4111,TOULOUSE CEDE,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
HE GREEN & RED PUB COM,green red pub,5813,LONDON  NW1,GB,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
NOW C3C57 SKY CINE,now sky cine,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TV NOVA 8317220207,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
NYX*COCACOLAHBCMAGYARO,nyx cocacolahbcmagyaro,5814,DUNAHARASZTI,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
REEF FOR PERFUMES,reef for perfumes,5977,DOHA,QA,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,
OCKOVACI CENTRUM,ockovaci centrum,4119,BRECLAV,CZ,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
PK AEROPUERTO ALICANTE,aeropuerto alicante,7523,"ALTET, EL",ES,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
RADEGASTOVNA PERON,radegastovna peron,5812,PRAHA,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
WIENER L 20260126008143,wiener,4111,WIEN,AT,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
85F0D ENTS,ents,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TOTAL NL004017 BELVAL OUT,total belval out,5541,BELVAUX,LU,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
MEWSSYSTEMS,mewssystems,7011,31851071333,NL,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
LIME*COST CURSA FG7S,lime cost cursa,4789,MILAN,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
COSTA COFFEE 43011378,costa coffee,5814,CRAMLINGTON,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
CALL DOCTOR HOME,call doctor home,8099,DUBAI,AE,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",,0.95,rule_based,mcc_rule
FOODORA_AT_C6JU-2447-C,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
IPO IPO,ipo,5944,CHALKIDA,GR,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Jewelry Stores,0.0,rule_based,
BANDCAMP UK BASS TUTOR,bandcamp bass tutor,5815,BANDCAMP.CO,US,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GOPAY  *MEDOVINARNA.CZ,gopay medovinarna,5921,PRAHA,CZ,Bars & Alcohol,Liquor stores,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule
ES384553928,,4829,MADRID,ES,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25254001183�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ABOUTYOU.DE,aboutyou,5651,HAMBURG,DE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
VOJTILA TRANS SRO,vojtila trans sro,4131,PROSTEJOV,CZ,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,
"KAUFLAND 8720, PD, NEDO",kaufland nedo,5411,PRIEVIDZA,SK,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
SKY VIEW LLC,sky view llc,6513,DUBAI,AE,,,Real Estate & Payments,"Real estate managers, payment services",Real Estate Agents,0.0,rule_based,
GRUBHUBMCDONALDS,grubhubmcdonalds,5812,8775851085,US,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
O17534257716280504 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
MOONEY SPA,mooney spa,4900,SANTO STEFANO,IT,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule
LIME*PAYOFF HMUS,lime payoff hmus,4789,FRANKFURT,DE,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
PROTV 9535939498,protv,4899,BUCHAREST,RO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
FLYERALARM,flyeralarm,7338,CH240060658 F,CH,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
O17440045258934070 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
AMAZON GROCERY,amazon grocery,5411,DUBAI,AE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ROULOTE DA PORTELA,roulote portela,5814,LISBOA,PT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
FOODORA_AT_HTYR-2537-Z,foodora htyr,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
BIRD,bird,5940,8662052442,CH,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
LIME*KRSEL H4SR,lime krsel,4789,HELLERUP,DK,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
WWW.AMAZON.* M64A82T45,amazon,5399,LUXEMBOURG,LU,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
BRANDS FOR LESS TRADIN,brands for less tradin,5691,RIYADH,SA,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule
MEGAIMAGE 0637 BORH 8A,megaimage borh,5411,CLUJ NAPOCA,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ALNATURA PRODUKTIONS U,alnatura produktions,5411,FILDERSTADT,DE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
IKEA IRELAND LIMITED E,ikea ireland limited,5712,DUBLIN,IE,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule
FOODORA_AT_RPEV-2505-N,foodora rpev,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
METRO RJ,metro,4111,RIO DE JANEIR,BR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
