merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
HEMA A'DAM KINKERSTRAA,hema dam kinkerstraa,5311,AMSTERDAM,NL,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
ANANTARA GRAND HOTEL K,anantara grand hotel,7011,AMSTERDAM/NED,NL,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
MYJNIA CZLUCHOW,myjnia czluchow,7542,CZLUCHOW,PL,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
60CB7 SPORTS E,sports,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
ACS*20463212 THREE,acs three,4814,0107989541,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
FOODORA_AT_YNNC-2516-P,foodora ynnc,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
DD *DOORDASH HELLENICD,doordash hellenicd,5812,MELBOURNE,AU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
MIGROS MMM BERN MARKTG,migros mmm bern marktg,5411,BERN,CH,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AMAZON UK* ZR7ZR3FH4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
NEXTBIKECZ,nextbikecz,4789,OLOMOUC,CZ,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
ALDERON GAMES PTY LTD,alderon games pty ltd,5816,BALLARAT,AU,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
AVAST * AVP2118781759,avast,5817,DUBLIN,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GOPAY *DOKOSE.CZ,gopay dokose,5999,HTTPS://DOKOS,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
SIMMARKET CID 27883,simmarket cid,5815,491628996992,DE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
LIME*3 RIDES CFTA,lime rides cfta,4789,BARCELONA,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
AMAZON UK* ZR4CN3II4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
WWW.GOLFHOUSE.CZ,golfhouse,5655,PRAHA 98,CZ,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
NOW 924D3 ENTERTAI,now entertai,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
CAFE KICK,cafe kick,5812,LONDON,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NYX*MOVEMOBILITYSA,nyx movemobilitysa,5552,OTHMARSINGEN,CH,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
WWW.PLANITY.COM,planity,7298,PARIS,FR,Beauty & Personal Care,Personal care services and spas,Personal Services,"Hotels, laundry, beauty services, personal care",,0.95,rule_based,mcc_rule
INTERBUS SPA,interbus spa,4131,ENNA,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,
PAYPAL *AIRBNB HMRAJK,paypal airbnb hmrajk,7011,4029357733,LU,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
DB VERTRIEB GMBH,vertrieb gmbh,4112,753928644526,DE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule
KAUFLAND 3600,kaufland,5411,OPAVA - KATER,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
X2831 SKY SPOR,sky spor,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
PAYPAL *AIRBNB HMNH2QHA5,paypal airbnb,7011,35314369001,LU,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
COURTYARD TULSA,courtyard tulsa,3690,TULSA,US,Hotels & Accommodation,Hotels and lodging,Lodging,"Hotels, resorts, casinos with lodging",,0.95,rule_based,mcc_rule
KRASNOLOD,krasnolod,5812,WROCLAW,PL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AWAKENINGS,awakenings,5812,AMSTERDAM,NL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
ALEXANDRA BEACH,alexandra beach,7011,KOS,GR,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
TESCO STORES 2898,tesco stores,5411,BLETCHLEY,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
32ROSU,,7995,2636803998,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
FOODORA_AT_LPM2-2537-P7B0,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
CARABELA,carabela,5812,BARCELONA,ES,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
RIVERSIDE CATERING SE,riverside catering,5814,R DOVER,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
PENNY JABLUNKOVSKA,penny jablunkovska,5411,TRINEC,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
SPIRII* SPIRII 15.43 K,spirii,5552,KBENHAVN N,DK,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
PAYPAL *EDELOPTICSG,paypal edelopticsg,8043,40689878888,DE,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",Opticians,0.95,rule_based,mcc_rule
PORTOMASO CASINO BAR,portomaso casino bar,5812,ST JULIANS,MT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
BLACKSTORE SARL,blackstore,5813,CHATELAINE,CH,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
"DR.MAX 634, KK GARBIARSK",max garbiarsk,5912,KEZMAROK,SK,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
LIME*TRAJET 3IDA,lime trajet,7999,LI.ME,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
MCDONALDS 8261419,mcdonalds,5814,SAINT HELENS,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
MARKS&SPENCER PLC,marks spencer plc,5411,MERTON,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AIRBALTIC.COM,airbaltic,4511,2022905015,LV,Travel & Airlines,Airlines,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule
TFL UNPAID FARES,tfl unpaid fares,4111,TFL.GOV.UK/CP,GB,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
AMAZON UK* 584SI84L5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
NOW 5B3F7 HAYU MON,now hayu mon,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
BLESSING DAY TARSSAG,blessing day tarssag,5999,BUDAPEST,HU,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
CRV*PROFI 2157 C2,crv profi,5411,VILNIUS,LT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
NYX*COSTECZECHAS,nyx costeczechas,5499,CHOMUTOV,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
CAF&CO,caf,5499,LE BAN ST MAR,FR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
GLOBALE /LEDGER,globale ledger,5311,DUBAI,AE,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
PHARM ESTORIL,pharm estoril,5912,MONACO,MC,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
EXXON TOLLAND PETROLEU,exxon tolland petroleu,5541,TOLLAND,US,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
TV NOVA 7484637528,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
ADITYA RESTAURANT,aditya restaurant,5812,QAWRA,MT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
O17655526534960424 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
GOPAY  *UCITELNICE.CZ,gopay ucitelnice,5999,PRAHA 4,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
GOPAY  *VRTAKY.CZ,gopay vrtaky,5200,VRTAKY.CZ,CZ,,,Wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,
TOP SP TARFA*9678,top tarfa,4111,SAO PAULO,BR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
POSTA4830,,9402,HATVAN,HU,,,Government Administrative Services,"Postal services, government operations",Postal Services,0.0,rule_based,
FOODORA_AT_RXCI-2524-N,foodora rxci,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
FC125,,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
ZETTLE_*POH-KEH,zettle poh keh,5812,GOTEBORG,SE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TRANSAVIA   HFTCTQ,transavia hftctq,3007,PARAY VIEILLE,FR,Travel & Airlines,Airlines,Airlines,Individual airline merchant codes,Air Canada,0.95,rule_based,mcc_rule
ZAPOLSKI TILBURG,zapolski tilburg,5411,TILBURG,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
PENNY DOMAZLICKA 870,penny domazlicka,5411,KLATOVY,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
WITT VENDING,witt vending,5814,PRAHA,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
UKVI6YAA0000009045785,,9399,LONDON,GB,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
NOW B32A5 ULTRA BO,now ultra,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
AMAZON UK* XU3J72WA5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
M1LIDL2183  *LIDL DEK,lidl dek,5411,PRAHA 6,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
HONNOR AND JEFFREY,honnor and jeffrey,5261,SANDOWN,GB,,,Wholesale,"Durable goods wholesalers, industrial equipment",Garden Supply Stores,0.0,rule_based,
JUSTGIVING NADEEMASLAM,justgiving nadeemaslam,8398,LONDON,GB,,,Social Services,"Childcare, charities",,0.0,rule_based,
PAFC,pafc,7941,PLYMOUTH,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Sports Clubs,0.95,rule_based,mcc_rule
BILET ID : 258N002723,bilet,4111,GDANSK,PL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
32RED,,7995,2546618794,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
HOPP* SCOOTER,hopp scooter,5399,3547889988,EE,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
MILLENNIUM HOTELS,millennium hotels,3741,LONDON KENSIN,GB,Hotels & Accommodation,Hotels and lodging,Lodging,"Hotels, resorts, casinos with lodging",,0.95,rule_based,mcc_rule
WAL-MART #3337,wal mart,5411,RIO GRANDE,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
